,game_id,date,team,opp,result,win,pt_diff,ortg,zone,fgm,fga,fg%
893,173,5/6/21,CHA,CHI,L 99-120,0,-21,99.9,Mid-Range,4,13,0.307692308
894,174,5/6/21,BKN,DAL,L 109-113,0,-4,108.1,Mid-Range,6,18,0.333333333
895,175,5/6/21,DAL,BKN,W 113-109,1,4,112,Mid-Range,2,11,0.181818182
896,176,5/6/21,DET,MEM,W 111-97,1,14,116.7,Mid-Range,2,6,0.333333333
897,177,5/6/21,MEM,DET,L 97-111,0,-14,102,Mid-Range,1,3,0.333333333
898,178,5/6/21,GSW,OKC,W 118-97,1,21,119.6,Mid-Range,4,10,0.4
899,179,5/6/21,OKC,GSW,L 97-118,0,-21,98.4,Mid-Range,3,8,0.375
900,180,5/6/21,ATL,IND,L 126-133,0,-7,122.3,Mid-Range,4,11,0.363636364
901,181,5/6/21,IND,ATL,W 133-126,1,7,129.1,Mid-Range,11,15,0.733333333
902,182,5/6/21,LAC,LAL,W 118-94,1,24,121.4,Mid-Range,4,13,0.307692308
903,183,5/6/21,LAL,LAC,L 94-118,0,-24,96.7,Mid-Range,4,13,0.307692308
904,184,5/6/21,TOR,WAS,L 129-131 (OT),0,-2,119,Mid-Range,9,17,0.529411765
905,185,5/6/21,WAS,TOR,W 131-129 (OT),1,2,120.8,Mid-Range,3,12,0.25
906,186,5/5/21,ATL,PHX,W 135-103,1,32,149.1,Mid-Range,10,16,0.625
907,187,5/5/21,PHX,ATL,L 103-135,0,-32,113.8,Mid-Range,3,11,0.272727273
908,188,5/5/21,CLE,POR,L 105-141,0,-36,105.9,Mid-Range,7,15,0.466666667
909,189,5/5/21,POR,CLE,W 141-105,1,36,142.2,Mid-Range,5,10,0.5
910,190,5/5/21,DEN,NYK,W 113-97,1,16,108.7,Mid-Range,2,11,0.181818182
911,191,5/5/21,NYK,DEN,L 97-113,0,-16,93.3,Mid-Range,1,18,0.055555556
912,192,5/5/21,HOU,PHI,L 115-135,0,-20,116.5,Mid-Range,1,4,0.25
913,193,5/5/21,PHI,HOU,W 135-115,1,20,136.8,Mid-Range,6,8,0.75
914,194,5/5/21,IND,SAC,L 93-104,0,-11,93.4,Mid-Range,4,7,0.571428571
915,195,5/5/21,SAC,IND,W 104-93,1,11,104.5,Mid-Range,4,10,0.4
916,196,5/5/21,MIL,WAS,W 135-134,1,1,124.8,Mid-Range,5,11,0.454545455
917,197,5/5/21,WAS,MIL,L 134-135,0,-1,123.8,Mid-Range,11,20,0.55
918,198,5/5/21,MEM,MIN,W 139-135,1,4,131.5,Mid-Range,2,6,0.333333333
919,199,5/5/21,MIN,MEM,L 135-139,0,-4,127.8,Mid-Range,1,2,0.5
920,200,5/5/21,BOS,ORL,W 132-96,1,36,130,Mid-Range,5,8,0.625
921,201,5/5/21,ORL,BOS,L 96-132,0,-36,94.6,Mid-Range,6,13,0.461538462
922,202,5/5/21,SAS,UTA,L 94-126,0,-32,95.9,Mid-Range,5,13,0.384615385
923,203,5/5/21,UTA,SAS,W 126-94,1,32,128.5,Mid-Range,5,7,0.714285714
924,204,5/4/21,CLE,PHX,L 118-134 (OT),0,-16,112.2,Mid-Range,1,10,0.1
925,205,5/4/21,PHX,CLE,W 134-118 (OT),1,16,127.5,Mid-Range,8,23,0.347826087
926,206,5/4/21,CHA,DET,W 102-99,1,3,108.8,Mid-Range,4,12,0.333333333
927,207,5/4/21,DET,CHA,L 99-102,0,-3,105.6,Mid-Range,5,9,0.555555556
928,208,5/4/21,LAC,TOR,W 105-100,1,5,110.5,Mid-Range,5,11,0.454545455
929,209,5/4/21,TOR,LAC,L 100-105,0,-5,105.2,Mid-Range,2,8,0.25
930,210,5/4/21,DAL,MIA,W 127-113,1,14,133.9,Mid-Range,9,17,0.529411765
931,211,5/4/21,MIA,DAL,L 113-127,0,-14,119.1,Mid-Range,1,5,0.2
932,212,5/4/21,BKN,MIL,L 118-124,0,-6,115.6,Mid-Range,6,16,0.375
