Game ID,Date,Team,Opp,Result,Pts,Opp_Pts,ORtg
272,4/30/21,BKN,POR,L 109-128,109,128,110.3
273,4/30/21,POR,BKN,W 128-109,128,109,129.5
274,4/30/21,CHI,MIL,L 98-108,98,108,99.2
275,4/30/21,MIL,CHI,W 108-98,108,98,109.3
276,4/30/21,CLE,WAS,L 93-122,93,122,91
277,4/30/21,WAS,CLE,W 122-93,122,93,119.4
278,4/30/21,LAL,SAC,L 106-110,106,110,106.9
279,4/30/21,SAC,LAL,W 110-106,110,106,110.9
280,4/30/21,MEM,ORL,W 92-75,92,75,94
281,4/30/21,ORL,MEM,L 75-92,75,92,76.7
282,4/30/21,ATL,PHI,L 104-126,104,126,106.6
283,4/30/21,PHI,ATL,W 126-104,126,104,129.1
284,4/30/21,PHX,UTA,W 121-100,121,100,128.4
285,4/30/21,UTA,PHX,L 100-121,100,121,106.1
286,4/29/21,DEN,TOR,W 121-111,121,111,124.4
287,4/29/21,TOR,DEN,L 111-121,111,121,114.2
288,4/29/21,DAL,DET,W 115-105,115,105,115.9
289,4/29/21,DET,DAL,L 105-115,105,115,105.8
290,4/29/21,HOU,MIL,W 143-136,143,136,132.5
291,4/29/21,MIL,HOU,L 136-143,136,143,126
292,4/29/21,BKN,IND,W 130-113,130,113,123.8
293,4/29/21,IND,BKN,L 113-130,113,130,107.6
294,4/29/21,GSW,MIN,L 114-126,114,126,114.6
295,4/29/21,MIN,GSW,W 126-114,126,114,126.7
296,4/29/21,NOP,OKC,W 109-95,109,95,103.7
297,4/29/21,OKC,NOP,L 95-109,95,109,90.4
298,4/28/21,BOS,CHA,W 120-111,120,111,127
299,4/28/21,CHA,BOS,L 111-120,111,120,117.5
300,4/28/21,CLE,ORL,L 104-109,104,109,106
301,4/28/21,ORL,CLE,W 109-104,109,104,111.1
302,4/28/21,DEN,NOP,W 114-112,114,112,104.9
303,4/28/21,NOP,DEN,L 112-114,112,114,103
304,4/28/21,MEM,POR,L 109-130,109,130,107.2
305,4/28/21,POR,MEM,W 130-109,130,109,127.9
306,4/28/21,MIA,SAS,W 116-111,116,111,119
307,4/28/21,SAS,MIA,L 111-116,111,116,113.9
308,4/28/21,CHI,NYK,L 94-113,94,113,100.9
309,4/28/21,NYK,CHI,W 113-94,113,94,121.3
310,4/28/21,ATL,PHI,L 83-127,83,127,91.8
311,4/28/21,PHI,ATL,W 127-83,127,83,140.5
312,4/28/21,LAC,PHX,L 101-109,101,109,111.5
313,4/28/21,PHX,LAC,W 109-101,109,101,120.4
314,4/28/21,SAC,UTA,L 105-154,105,154,104.7
