Player,Name,Position,Age,Height,Weight,FGM,FGA,FG Percentage,Type,Previous Salary
<img src='matthews.png' height='80'></img>,Garrison Mathews,G,24,"6'4""",220,2,3,66.70%,Restricted,1489065
<img src='richardson.png' height='80'></img>,Josh Richardson,G,27,"6'5""",200,2,2,100.00%,Player Option,10491264
<img src='juanta.png' height='80'></img>,Juan Toscano-Anderson,F,28,"6'6""",209,2,5,40.00%,Restricted,1029944
<img src='anthony.png' height='80'></img>,Carmelo Anthony,F,37,"6'7""",238,2,4,50.00%,Unrestricted,2564753
<img src='scott.png' height='80'></img>,Mike Scott,F,32,"6'7""",238,2,4,50.00%,Unrestricted,4900000
<img src='payne.png' height='80'></img>,Cameron Payne,G,26,"6'1""",183,2,2,100.00%,Unrestricted,1086650
<img src='forrest.png' height='80'></img>,Trent Forrest,G,23,"6'4""",210,2,7,28.60%,Restricted,470690
<img src='james.png' height='80'></img>,Mike James,G,30,"6'1""",175,2,3,66.70%,Unrestricted,9902
<img src='ariza.png' height='80'></img>,Trevor Ariza,F,35,"6'8""",215,2,11,18.20%,Unrestricted,12500000
<img src='thomas.png' height='80'></img>,Brodric Thomas,G,24,"6'5""",185,2,5,40.00%,Restricted,898310
<img src='portis.png' height='80'></img>,Bobby Portis,F,26,"6'10""",250,2,6,33.30%,Player Option,3713575
<img src='harkless.png' height='80'></img>,Maurice Harkless,G-F,28,"6'7""",220,2,5,40.00%,Unrestricted,3623000
<img src='lamb.png' height='80'></img>,Anthony Lamb,F,23,"6'6""",227,2,6,33.30%,Restricted,215330
<img src='ball.png' height='80'></img>,Lonzo Ball,G,23,"6'6""",190,2,10,20.00%,Restricted,8367906
